observation_date,Corporate_Profits_Billions,Corporate_Profits_Indexed_1979
1/1/1979,168.479,100
1/1/1980,147.642,87.63228652
1/1/1981,175.579,104.2141751
1/1/1982,176.462,104.738276
1/1/1983,211.484,125.5254364
1/1/1984,255.791,151.8236694
1/1/1985,271.468,161.1286867
1/1/1986,231.694,137.5209967
1/1/1987,258.11,153.2001021
1/1/1988,291.977,173.3017171
1/1/1989,294.296,174.6781498
1/1/1990,297.514,176.5881801
1/1/1991,330.929,196.4215125
1/1/1992,349.376,207.3706515
1/1/1993,375.67,222.9773444
1/1/1994,461.42,273.8738953
1/1/1995,522.229,309.9668208
1/1/1996,592.186,351.4895031
1/1/1997,665.104,394.7696746
1/1/1998,613.362,364.0584286
1/1/1999,639.373,379.497148
1/1/2000,592.962,351.9500947
1/1/2001,617.043,366.2432707
1/1/2002,769.692,456.8474409
1/1/2003,863.304,512.4104488
1/1/2004,1042.032,618.4936995
1/1/2005,1150.296,682.7533402
1/1/2006,1265.958,751.4040326
1/1/2007,1204.022,714.6421809
1/1/2008,1089.702,646.788027
1/1/2009,1221.719,725.1461606
1/1/2010,1502.208,891.6292238
1/1/2011,1581.664,938.7899976
1/1/2012,1723.145,1022.765449
1/1/2013,1718.722,1020.140196
1/1/2014,1805.944,1071.910446
1/1/2015,1777.003,1054.732637
1/1/2016,1768.277,1049.553357
1/1/2017,1928.085,1144.406721
1/1/2018,2067.744,1227.300732
1/1/2019,2174.126,1290.443319
1/1/2020,2099.499,1246.148778
1/1/2021,2613.35,1551.142872
1/1/2022,2737.467,1624.811994
1/1/2023,2921.811,1734.228598
