observation_date,productivity,earnings
1/1/1947,44.85927,
4/1/1947,45.87875,
7/1/1947,44.47444,
10/1/1947,46.34417,
1/1/1948,46.5537,
4/1/1948,46.4308,
7/1/1948,46.48117,
10/1/1948,46.68467,
1/1/1949,47.16016,
4/1/1949,47.64572,
7/1/1949,48.78609,
10/1/1949,48.52215,
1/1/1950,50.18637,
4/1/1950,50.80289,
7/1/1950,51.907,
10/1/1950,51.99968,
1/1/1951,52.05609,
4/1/1951,51.89692,
7/1/1951,53.04737,
10/1/1951,53.20654,
1/1/1952,53.47853,
4/1/1952,53.37175,
7/1/1952,53.10983,
10/1/1952,54.23609,
1/1/1953,54.70755,
4/1/1953,54.83851,
7/1/1953,55.07022,
10/1/1953,54.8768,
1/1/1954,54.99164,
4/1/1954,55.37445,
7/1/1954,56.37177,
10/1/1954,57.00643,
1/1/1955,58.13068,
4/1/1955,58.33014,
7/1/1955,58.54371,
10/1/1955,58.33216,
1/1/1956,57.629,
4/1/1956,57.91308,
7/1/1956,57.90502,
10/1/1956,58.52558,
1/1/1957,59.1965,
4/1/1957,58.96077,
7/1/1957,59.79086,
10/1/1957,59.98831,
1/1/1958,59.16225,
4/1/1958,60.29456,
7/1/1958,61.42687,
10/1/1958,62.47456,
1/1/1959,62.55113,
4/1/1959,63.15758,
7/1/1959,63.24623,
10/1/1959,63.04072,
1/1/1960,64.51151,
4/1/1960,63.50815,
7/1/1960,63.88492,
10/1/1960,63.04072,
1/1/1961,63.85469,
4/1/1961,65.53301,
7/1/1961,66.64921,
10/1/1961,67.22141,
1/1/1962,68.31946,
4/1/1962,68.04747,
7/1/1962,69.17978,
10/1/1962,69.68751,
1/1/1963,69.89704,
4/1/1963,70.42693,
7/1/1963,72.15361,
10/1/1963,72.10727,
1/1/1964,72.55858,
4/1/1964,72.95549,
7/1/1964,73.70701,
10/1/1964,72.99579,
1/1/1965,74.04348,
4/1/1965,74.38398,
7/1/1965,75.89708,
10/1/1965,77.21274,
1/1/1966,78.26446,
4/1/1966,77.72248,
7/1/1966,77.97836,
10/1/1966,78.46191,
1/1/1967,79.08247,
4/1/1967,79.37259,
7/1/1967,79.77757,
10/1/1967,80.00725,
1/1/1968,81.79236,
4/1/1968,82.55999,
7/1/1968,82.59223,
10/1/1968,82.39478,
1/1/1969,83.04958,
4/1/1969,82.36859,
7/1/1969,82.45321,
10/1/1969,82.04017,
1/1/1970,82.29404,
4/1/1970,83.49687,
7/1/1970,84.80648,
10/1/1970,84.02877,
1/1/1971,86.51905,
4/1/1971,86.76284,
7/1/1971,87.58487,
10/1/1971,86.82328,
1/1/1972,88.18327,
4/1/1972,89.92001,
7/1/1972,90.4358,
10/1/1972,91.1994,
1/1/1973,93.26255,
4/1/1973,93.2968,
7/1/1973,92.4244,
10/1/1973,91.84817,
1/1/1974,91.62654,
4/1/1974,91.35253,
7/1/1974,90.41565,
10/1/1974,91.22157,
1/1/1975,91.89854,
4/1/1975,93.35724,
7/1/1975,94.49963,
10/1/1975,94.60238,
1/1/1976,96.00266,
4/1/1976,96.88514,
7/1/1976,97.11281,
10/1/1976,97.39286,
1/1/1977,98.01946,
4/1/1977,98.42041,
7/1/1977,99.45399,
10/1/1977,98.18669,
1/1/1978,98.2431,
4/1/1978,100.19745,
7/1/1978,100.25991,
10/1/1978,100.91874,
1/1/1979,100,100
4/1/1979,99.81665,100
7/1/1979,99.69375,98.50746
10/1/1979,99.57488,97.31343
1/1/1980,100.04835,95.8209
4/1/1980,99.00469,94.02985
7/1/1980,99.39758,95.22388
10/1/1980,100.40699,94.02985
1/1/1981,101.95434,93.73134
4/1/1981,100.63466,92.83582
7/1/1981,101.57758,92.23881
10/1/1981,100.49765,93.13433
1/1/1982,99.99396,93.13433
4/1/1982,100.02216,93.73134
7/1/1982,100.21961,92.83582
10/1/1982,101.10209,93.43284
1/1/1983,102.47416,94.02985
4/1/1983,104.71863,93.73134
7/1/1983,104.96847,94.02985
10/1/1983,105.57291,93.13433
1/1/1984,106.08265,93.43284
4/1/1984,106.67298,93.13433
7/1/1984,107.12228,93.43284
10/1/1984,107.24115,94.32836
1/1/1985,107.58366,93.73134
4/1/1985,107.92416,96.41791
7/1/1985,109.29623,95.52239
10/1/1985,109.73546,95.52239
1/1/1986,111.035,95.8209
4/1/1986,111.90539,97.91045
7/1/1986,112.38289,97.91045
10/1/1986,112.1391,98.80597
1/1/1987,111.61123,97.91045
4/1/1987,112.36274,97.91045
7/1/1987,112.38692,98.50746
10/1/1987,113.51117,97.91045
1/1/1988,113.94234,98.20896
4/1/1988,114.2506,97.01493
7/1/1988,114.49237,97.01493
10/1/1988,114.61729,96.71642
1/1/1989,114.81675,96.41791
4/1/1989,115.1492,96.1194
7/1/1989,115.68714,96.1194
10/1/1989,115.69923,96.1194
1/1/1990,116.79326,95.22388
4/1/1990,117.60724,95.22388
7/1/1990,117.98602,93.43284
10/1/1990,116.76103,93.13433
1/1/1991,117.12369,94.32836
4/1/1991,119.03371,93.13433
7/1/1991,120.05118,93.13433
10/1/1991,120.61733,93.43284
1/1/1992,123.00284,94.02985
4/1/1992,124.05053,93.43284
7/1/1992,125.16068,93.73134
10/1/1992,125.90615,93.13433
1/1/1993,124.81817,94.02985
4/1/1993,124.09486,94.62687
7/1/1993,124.64086,95.22388
10/1/1993,125.12643,95.22388
1/1/1994,125.47499,94.32836
4/1/1994,125.59184,94.62687
7/1/1994,124.88264,93.73134
10/1/1994,126.19225,93.73134
1/1/1995,126.28493,93.43284
4/1/1995,126.87526,93.73134
7/1/1995,126.86519,94.62687
10/1/1995,127.55626,93.43284
1/1/1996,128.34203,93.13433
4/1/1996,129.58918,93.13433
7/1/1996,130.06266,93.73134
10/1/1996,130.17952,93.43284
1/1/1997,129.91155,93.43284
4/1/1997,131.83567,93.73134
7/1/1997,132.90754,93.73134
10/1/1997,133.54623,93.73134
1/1/1998,134.76316,95.22388
4/1/1998,135.45826,95.22388
7/1/1998,137.3018,95.8209
10/1/1998,138.35553,97.91045
1/1/1999,140.26152,96.71642
4/1/1999,140.77328,98.20896
7/1/1999,142.06274,98.50746
10/1/1999,144.15208,100
1/1/2000,143.57988,99.70149
4/1/2000,146.45699,99.70149
7/1/2000,146.33611,100
10/1/2000,147.85324,99.70149
1/1/2001,147.04531,99.40299
4/1/2001,149.57387,100.29851
7/1/2001,150.41404,100.89552
10/1/2001,152.29384,101.49254
1/1/2002,155.50742,101.79104
4/1/2002,155.73913,101.19403
7/1/2002,156.95203,100.59701
10/1/2002,156.7163,100.29851
1/1/2003,158.26366,100
4/1/2003,160.34292,100.89552
7/1/2003,163.90506,100.59701
10/1/2003,165.4363,100.59701
1/1/2004,164.94671,100.59701
4/1/2004,166.66532,101.79104
7/1/2004,167.45109,100
10/1/2004,168.16836,100.59701
1/1/2005,170.00181,100.29851
4/1/2005,169.81645,99.70149
7/1/2005,171.00719,98.80597
10/1/2005,170.99309,99.10448
1/1/2006,172.1939,99.10448
4/1/2006,172.00048,98.20896
7/1/2006,171.64588,99.70149
10/1/2006,172.75804,100.59701
1/1/2007,173.37457,100.29851
4/1/2007,173.90446,100
7/1/2007,175.42764,100.29851
10/1/2007,176.77755,99.10448
1/1/2008,175.62307,100
4/1/2008,177.70032,100
7/1/2008,178.13551,98.80597
10/1/2008,177.18856,101.49254
1/1/2009,179.21343,102.98507
4/1/2009,183.31755,102.98507
7/1/2009,186.2128,102.98507
10/1/2009,188.73733,102.68657
1/1/2010,188.92471,102.68657
4/1/2010,189.54123,102.08955
7/1/2010,190.74406,102.08955
10/1/2010,191.33842,101.79104
1/1/2011,189.93815,100.89552
4/1/2011,190.07717,100.29851
7/1/2011,189.70846,100.29851
10/1/2011,190.62519,100
1/1/2012,191.58826,100
4/1/2012,192.55334,100.59701
7/1/2012,192.00532,99.40299
10/1/2012,191.2941,99.40299
1/1/2013,192.2068,98.80597
4/1/2013,191.74944,100
7/1/2013,193.1195,99.70149
10/1/2013,194.97713,99.70149
1/1/2014,193.32904,100
4/1/2014,194.61648,98.50746
7/1/2014,196.2666,100.29851
10/1/2014,195.58761,100.29851
1/1/2015,196.70985,101.79104
4/1/2015,197.68904,101.19403
7/1/2015,198.23303,101.49254
10/1/2015,197.02617,102.98507
1/1/2016,197.86634,103.28358
4/1/2016,197.97715,102.98507
7/1/2016,198.6783,103.58209
10/1/2016,200.00806,104.1791
1/1/2017,200.34453,105.07463
4/1/2017,200.45534,105.67164
7/1/2017,202.04904,105.07463
10/1/2017,203.52991,102.98507
1/1/2018,204.29754,104.77612
4/1/2018,204.28948,104.77612
7/1/2018,204.89191,105.67164
10/1/2018,204.5373,105.97015
1/1/2019,206.27405,105.97015
4/1/2019,207.5071,106.86567
7/1/2019,209.85836,107.46269
10/1/2019,211.84091,108.0597
1/1/2020,211.26267,109.85075
4/1/2020,221.19155,117.31343
7/1/2020,224.56027,114.62687
10/1/2020,222.81345,112.23881
1/1/2021,224.56833,111.34328
4/1/2021,224.65497,110.74627
7/1/2021,223.26476,109.55224
10/1/2021,224.81011,108.0597
1/1/2022,221.92493,108.35821
4/1/2022,220.2587,107.16418
7/1/2022,220.15393,108.0597
10/1/2022,221.70935,108.0597
1/1/2023,221.88866,108.65672
4/1/2023,223.91353,108.95522
7/1/2023,226.01898,109.25373
10/1/2023,227.77789,110.44776
1/1/2024,228.1748,108.95522
4/1/2024,229.3736,109.85075
7/1/2024,230.69732,110.74627
10/1/2024,231.40249,111.9403
